string1,string2,match
Siemens,Siemens inc,1
California Institute of Technology,California Institute of Technology,1
Johnson & Johnson,Johnson & Johnson co,1
Cisco Systems,Netflix Streaming,0
PayPal,PayPal llc,1
Elon Musk,Samsung Electronics,0
California Institute of Technology,California Institute of Technology,1
Moderna,Moderna Inc,1
International Business Machines,International Business Machines,1
Apple Inc,Apple Inc,1
Moderna Inc,Moderna Inc,1
Amazon.com,Lyft Inc,0
Raytheon Technologies,Morgan Stanley,0
McKinsey & Company,McKinsey & Company,1
Lockheed Martin,Lockheed Martin ltd,1
Jane Doe,Lockheed Martin,0
Twitter,Siemens,0
Apple Inc,Airbnb,0
Intel Corporation,Jane Doe,0
Microsoft Corporation,Microsoft Corporation,1
Tesla Motor,Tesla Motors,1
Harvard University,Harvard University,1
Morgan Stanley,Morgan Stanley,1
Pfizer Pharmaceuticals,Pfizer Pharmaceuticals,1
Tesla Energy,Pfizer Pharmaceuticals,0
Snapchat,Pfizer Pharmaceuticals,0
Twitter,California Institute of Technology,0
AMD Inc,AMD Inc,1
Boston Consulting Group,McKinsey & Company,0
Cisco Systems,Jane Doe,0
Twitter,Twitter,1
New York City,New York City,1
Elon Musk,Elon Musk,1
Twitter,Harvard University,0
Harvard University,Harvard University,1
JP Morgan Chase,Netflix Streaming,0
Tesla Energy,Oracle Corporation,0
Google LLC,Cisco Systems,0
Goldman Sachs,Blue Origin,0
Amazon.com,Amazon.com,1
Morgan Stanley,John Smith,0
Blue Origin,Boston Dynamics,0
Accenture,Twitter,0
Goldman Sachs,International Business Machines,0
Oracle Corporation,Oracle Corporation,1
Pfizer Pharmaceuticals,SpaceX,0
Blue Origin,Blue Origin,1
Facebook Meta,Uber Technologies,0
Morgan Stanley,Morgan Stanley,1
AMD Inc,AMD Inc,1
Boston Consulting Group,Cisco Systems,0
Uber Technologies,Boston Consulting Group,0
Boston Dynamics,Adobe Systems,0
Google LLC,Boeing,0
New York City,New York City,1
Intel Corporation,Blue Origin,0
John Smith,John Smith,1
Goldman Sachs,Tesla Motors,0
Lockheed Martin,McKinsey & Company,0
International Business Machines,International Business Machines,1
Lockheed Martin,Harvard University,0
Samsung Electronics,General Electric,0
Google LLC,Google LLC,1
Pfizer Pharmaceuticals,Pfizer Pharmaceuticals,1
Citibank,Citibank,1
Tesla Motors,Microsoft Corporation,0
Airbnb,Airbnb,1
Berkshire Hathaway,International Business Machines,0
Harvard University,Space Exploration Technologies,0
NASA,NASA,1
Apple Inc,Boston Dynamics,0
Netflix Streaming,Netflix Streaming,1
Berkshire Hathaway,Berkshire Hathaway,1
International Business Machines,International Business Machines,1
NASA,NASA,1
Google LLC,John Smith,0
Raytheon Technologies,Raytheon Technologies,1
Intel Corporation,Space Exploration Technologies,0
Microsoft Corporation,Microsoft Corporation,1
JP Morgan Chase,Boston Dynamics,0
Tesla Energy,Tesla Energy,1
Lockheed Martin,Lockheed Martin,1
Wall Street,Wall Street,1
Wall Street,Wall Street,1
Siemens,Siemens,1
Uber Technologies,Jane Doe,0
Adobe Systems,McKinsey & Company,0
Microsoft Corporation,Jane Doe,0
YouTube Videos,Deloitte Consulting,0
Jane Doe,Berkshire Hathaway,0
New York City,New York City,1
Adobe Systems,Oracle Corporation,0
Amazon.com,Amazon.com,1
Siemens,Siemens,1
Uber Technologies,Uber Technologies,1
Intel Corporation,Intel Corporation,1
Deloitte Consulting,Boston Dynamics,0
Netflix Streaming,Netflix Streaming,1
AMD Inc,Accenture,0
California Institute of Technology,Amazon.com,0
Elon Musk,Elon Musk,1
Harvard University,Harvard University,1
Apple Inc,Apple Inc,1
Pfizer Pharmaceuticals,YouTube Videos,0
Space Exploration Technologies,Space Exploration Technologies,1
Samsung Electronics,Samsung Electronics,1
Goldman Sachs,Space Exploration Technologies,0
Harvard University,Harvard University,1
Harvard University,Tesla Motors,0
Netflix Streaming,Netflix Streaming,1
Johnson & Johnson,Johnson & Johnson,1
Snapchat,Morgan Stanley,0
Spotify,Intel Corporation,0
Citibank,Harvard University,0
Tesla Energy,Tesla Energy,1
Spotify,Spotify,1
Lockheed Martin,Boeing,0
Pfizer Pharmaceuticals,Pfizer Pharmaceuticals,1
Deloitte Consulting,Deloitte Consulting,1
Accenture,Accenture,1
Spotify,Spotify,1
Boston Dynamics,PayPal,0
Netflix Streaming,Lockheed Martin,0
Jane Doe,Jane Doe,1
Google LLC,Google LLC,1
Microsoft Corporation,Snapchat,0
Oracle Corporation,New York City,0
John Smith,Twitter,0
Accenture,Accenture,1
Spotify,Moderna Inc,0
Elon Musk,California Institute of Technology,0
Twitter,Twitter,1
Netflix Streaming,Netflix Streaming,1
Elon Musk,Elon Musk,1
PayPal,Spotify,0
JP Morgan Chase,JP Morgan Chase,1
Morgan Stanley,Morgan Stanley,1
YouTube Videos,Spotify,0
Microsoft Corporation,Microsoft Corporation,1
Samsung Electronics,Samsung Electronics,1
Deloitte Consulting,Deloitte Consulting,1
John Smith,John Smith,1
McKinsey & Company,Tesla Motors,0
Apple Inc,Apple Inc,1
General Electric,General Electric,1
