string1,string2,match
Siemens,Siemens inc,1.0
California Institute of Technology,California Institute of Technology,1.0
Johnson & Johnson,Johnson & Johnson co,1.0
Cisco Systems,Netflix Streaming,0.0
PayPal,PayPal llc,1.0
Elon Musk,Samsung Electronics,0.0
California Institute of Technology,California Institute of Technology,1.0
Moderna,Moderna Inc,1.0
International Business Machines,International Business Machines,1.0
Apple Inc,Apple Inc,1.0
Moderna Inc,Moderna Inc,1.0
Amazon.com,Lyft Inc,0.0
Raytheon Technologies,Morgan Stanley,0.0
McKinsey & Company,McKinsey & Company,1.0
Lockheed Martin,Lockheed Martin ltd,1.0
Jane Doe,Lockheed Martin,0.0
Twitter,Siemens,0.0
Apple Inc,Airbnb,0.0
Intel Corporation,Jane Doe,0.0
Microsoft Corporation,Microsoft Corporation,1.0
Tesla Motor,Tesla Motors,1.0
Harvard University,Harvard University,1.0
Morgan Stanley,Morgan Stanley,1.0
Pfizer Pharmaceuticals,Pfizer Pharmaceuticals,1.0
Tesla Energy,Pfizer Pharmaceuticals,0.0
Snapchat,Pfizer Pharmaceuticals,0.0
Twitter,California Institute of Technology,0.0
AMD Inc,AMD Inc,1.0
Boston Consulting Group,McKinsey & Company,0.0
Cisco Systems,Jane Doe,0.0
Twitter,Twitter,1.0
New York City,New York City,1.0
Elon Musk,Elon Musk,1.0
Twitter,Harvard University,0.0
Harvard University,Harvard University,1.0
JP Morgan Chase,Netflix Streaming,0.0
Tesla Energy,Oracle Corporation,0.0
Google LLC,Cisco Systems,0.0
Goldman Sachs,Blue Origin,0.0
Amazon.com,Amazon.com,1.0
Morgan Stanley,John Smith,0.0
Blue Origin,Boston Dynamics,0.0
Accenture,Twitter,0.0
Goldman Sachs,International Business Machines,0.0
Oracle Corporation,Oracle Corporation,1.0
Pfizer Pharmaceuticals,SpaceX,0.0
Blue Origin,Blue Origin,1.0
Facebook Meta,Uber Technologies,0.0
Morgan Stanley,Morgan Stanley,1.0
AMD Inc,AMD Inc,1.0
Boston Consulting Group,Cisco Systems,0.0
Uber Technologies,Boston Consulting Group,0.0
Boston Dynamics,Adobe Systems,0.0
Google LLC,Boeing,0.0
New York City,New York City,1.0
Intel Corporation,Blue Origin,0.0
John Smith,John Smith,1.0
Goldman Sachs,Tesla Motors,0.0
Lockheed Martin,McKinsey & Company,0.0
International Business Machines,International Business Machines,1.0
Lockheed Martin,Harvard University,0.0
Samsung Electronics,General Electric,0.0
Google LLC,Google LLC,1.0
Pfizer Pharmaceuticals,Pfizer Pharmaceuticals,1.0
Citibank,Citibank,1.0
Tesla Motors,Microsoft Corporation,0.0
Airbnb,Airbnb,1.0
Berkshire Hathaway,International Business Machines,0.0
Harvard University,Space Exploration Technologies,0.0
NASA,NASA,1.0
Apple Inc,Boston Dynamics,0.0
Netflix Streaming,Netflix Streaming,1.0
Berkshire Hathaway,Berkshire Hathaway,1.0
International Business Machines,International Business Machines,1.0
NASA,NASA,1.0
Google LLC,John Smith,0.0
Raytheon Technologies,Raytheon Technologies,1.0
Intel Corporation,Space Exploration Technologies,0.0
Microsoft Corporation,Microsoft Corporation,1.0
JP Morgan Chase,Boston Dynamics,0.0
Tesla Energy,Tesla Energy,1.0
Lockheed Martin,Lockheed Martin,1.0
Wall Street,Wall Street,1.0
Wall Street,Wall Street,1.0
Siemens,Siemens,1.0
Uber Technologies,Jane Doe,0.0
Adobe Systems,McKinsey & Company,0.0
Microsoft Corporation,Jane Doe,0.0
YouTube Videos,Deloitte Consulting,0.0
Jane Doe,Berkshire Hathaway,0.0
New York City,New York City,1.0
Adobe Systems,Oracle Corporation,0.0
Amazon.com,Amazon.com,1.0
Siemens,Siemens,1.0
Uber Technologies,Uber Technologies,1.0
Intel Corporation,Intel Corporation,1.0
Deloitte Consulting,Boston Dynamics,0.0
Netflix Streaming,Netflix Streaming,1.0
AMD Inc,Accenture,0.0
California Institute of Technology,Amazon.com,0.0
Elon Musk,Elon Musk,1.0
Harvard University,Harvard University,1.0
Apple Inc,Apple Inc,1.0
Pfizer Pharmaceuticals,YouTube Videos,0.0
Space Exploration Technologies,Space Exploration Technologies,1.0
Samsung Electronics,Samsung Electronics,1.0
Goldman Sachs,Space Exploration Technologies,0.0
Harvard University,Harvard University,1.0
Harvard University,Tesla Motors,0.0
Netflix Streaming,Netflix Streaming,1.0
Johnson & Johnson,Johnson & Johnson,1.0
Snapchat,Morgan Stanley,0.0
Spotify,Intel Corporation,0.0
Citibank,Harvard University,0.0
Tesla Energy,Tesla Energy,1.0
Spotify,Spotify,1.0
Lockheed Martin,Boeing,0.0
Pfizer Pharmaceuticals,Pfizer Pharmaceuticals,1.0
Deloitte Consulting,Deloitte Consulting,1.0
Accenture,Accenture,1.0
Spotify,Spotify,1.0
Boston Dynamics,PayPal,0.0
Netflix Streaming,Lockheed Martin,0.0
Jane Doe,Jane Doe,1.0
Google LLC,Google LLC,1.0
Microsoft Corporation,Snapchat,0.0
Oracle Corporation,New York City,0.0
John Smith,Twitter,0.0
Accenture,Accenture,1.0
Spotify,Moderna Inc,0.0
Elon Musk,California Institute of Technology,0.0
Twitter,Twitter,1.0
Netflix Streaming,Netflix Streaming,1.0
Elon Musk,Elon Musk,1.0
PayPal,Spotify,0.0
JP Morgan Chase,JP Morgan Chase,1.0
Morgan Stanley,Morgan Stanley,1.0
YouTube Videos,Spotify,0.0
Microsoft Corporation,Microsoft Corporation,1.0
Samsung Electronics,Samsung Electronics,1.0
Deloitte Consulting,Deloitte Consulting,1.0
John Smith,John Smith,1.0
McKinsey & Company,Tesla Motors,0.0
Apple Inc,Apple Inc,1.0
General Electric,General Electric,1.0
McKinsey & Company,McKinsey & Company,1.0
Oracle Corporation,Oracle Corporation,1.0
Snapchat,Samsung Electronics,0.0
Citibank,General Electric,0.0
General Electric,Deloitte Consulting,0.0
Space Exploration Technologies,Space Exploration Technologies,1.0
McKinsey & Company,McKinsey & Company,1.0
John Smith,YouTube Videos,0.0
Amazon.com,Amazon.com,1.0
PayPal,Jane Doe,0.0
Lockheed Martin,Lockheed Martin,1.0
Accenture,Space Exploration Technologies,0.0
Tesla Energy,Tesla Energy,1.0
SpaceX,Morgan Stanley,0.0
Adobe Systems,Adobe Systems,1.0
Intel Corporation,Morgan Stanley,0.0
JP Morgan Chase,JP Morgan Chase,1.0
YouTube Videos,Oracle Corporation,0.0
AMD Inc,AMD Inc,1.0
John Smith,John Smith,1.0
Blue Origin,Netflix Streaming,0.0
New York City,General Electric,0.0
Boston Consulting Group,Boston Consulting Group,1.0
Snapchat,PayPal,0.0
Boston Dynamics,Goldman Sachs,0.0
AMD Inc,PayPal,0.0
McKinsey & Company,Berkshire Hathaway,0.0
Deloitte Consulting,Deloitte Consulting,1.0
Deloitte Consulting,Deloitte Consulting,1.0
Morgan Stanley,Morgan Stanley,1.0
Lyft Inc,Lockheed Martin,0.0
Cisco Systems,General Electric,0.0
NASA,Goldman Sachs,0.0
Snapchat,Pfizer Pharmaceuticals,0.0
Boston Consulting Group,New York City,0.0
JP Morgan Chase,JP Morgan Chase,1.0
Morgan Stanley,McKinsey & Company,0.0
Harvard University,Siemens,0.0
Jane Doe,Massachusetts Institute of Technology,0.0
Adobe Systems,Intel Corporation,0.0
JP Morgan Chase,Microsoft Corporation,0.0
Wall Street,Wall Street,1.0
Airbnb,Siemens,0.0
Boeing,Boeing,1.0
Berkshire Hathaway,YouTube Videos,0.0
SpaceX,SpaceX,1.0
Goldman Sachs,Goldman Sachs,1.0
Pfizer Pharmaceuticals,Boston Dynamics,0.0
International Business Machines,Deloitte Consulting,0.0
Goldman Sachs,Massachusetts Institute of Technology,0.0
Cisco Systems,Cisco Systems,1.0
Tesla Energy,Tesla Energy,1.0
Lockheed Martin,International Business Machines,0.0
California Institute of Technology,California Institute of Technology,1.0
Amazon.com,Airbnb,0.0
Jane Doe,Lockheed Martin,0.0
Twitter,Jane Doe,0.0
AMD Inc,Jane Doe,0.0
YouTube Videos,Adobe Systems,0.0
Apple Inc,International Business Machines,0.0
Elon Musk,Elon Musk,1.0
NASA,Goldman Sachs,0.0
Twitter,Moderna Inc,0.0
International Business Machines,International Business Machines,1.0
Snapchat,Blue Origin,0.0
Space Exploration Technologies,Space Exploration Technologies,1.0
Tesla Energy,Johnson & Johnson,0.0
Elon Musk,Elon Musk,1.0
Siemens,Boston Consulting Group,0.0
Goldman Sachs,Lockheed Martin,0.0
Deloitte Consulting,Deloitte Consulting,1.0
Twitter,Cisco Systems,0.0
Facebook Meta,AMD Inc,0.0
Twitter,Twitter,1.0
Facebook Meta,Facebook Meta,1.0
McKinsey & Company,McKinsey & Company,1.0
Microsoft Corporation,Intel Corporation,0.0
Boston Dynamics,Adobe Systems,0.0
Amazon.com,PayPal,0.0
Morgan Stanley,Harvard University,0.0
Wall Street,Apple Inc,0.0
Lyft Inc,Goldman Sachs,0.0
Facebook Meta,YouTube Videos,0.0
Snapchat,Snapchat,1.0
Lyft Inc,Lyft Inc,1.0
Citibank,Netflix Streaming,0.0
Siemens,YouTube Videos,0.0
Oracle Corporation,Apple Inc,0.0
John Smith,John Smith,1.0
Jane Doe,Jane Doe,1.0
Netflix Streaming,Netflix Streaming,1.0
Boston Dynamics,Boston Dynamics,1.0
General Electric,General Electric,1.0
Cisco Systems,Wall Street,0.0
General Electric,General Electric,1.0
Raytheon Technologies,Raytheon Technologies,1.0
Oracle Corporation,Samsung Electronics,0.0
McKinsey & Company,McKinsey & Company,1.0
PayPal,PayPal,1.0
PayPal,Tesla Energy,0.0
Facebook Meta,Facebook Meta,1.0
New York City,Tesla Motors,0.0
Spotify,Intel Corporation,0.0
Lockheed Martin,Lockheed Martin,1.0
Blue Origin,Oracle Corporation,0.0
Space Exploration Technologies,Boston Consulting Group,0.0
Accenture,NASA,0.0
Lockheed Martin,Lockheed Martin,1.0
Lyft Inc,Blue Origin,0.0
SpaceX,Raytheon Technologies,0.0
Boston Dynamics,Boston Dynamics,1.0
Raytheon Technologies,Samsung Electronics,0.0
Massachusetts Institute of Technology,Massachusetts Institute of Technology,1.0
Blue Origin,Johnson & Johnson,0.0
Massachusetts Institute of Technology,Wall Street,0.0
Harvard University,Harvard University,1.0
Boeing,Boeing,1.0
Samsung Electronics,Samsung Electronics,1.0
JP Morgan Chase,JP Morgan Chase,1.0
Elon Musk,Elon Musk,1.0
Amazon.com,Uber Technologies,0.0
Blue Origin,John Smith,0.0
Massachusetts Institute of Technology,Massachusetts Institute of Technology,1.0
JP Morgan Chase,JP Morgan Chase,1.0
Goldman Sachs,Goldman Sachs,1.0
NASA,Goldman Sachs,0.0
International Business Machines,John Smith,0.0
Accenture,Citibank,0.0
International Business Machines,McKinsey & Company,0.0
